code,title,credit,description
ACCT-210,Intro to Financial Accounting,3,"This course is an introduction to financial accounting concepts, with emphasis on communicating financial information to external users fro decision making purposes. Students are introduced to the U.S. Generally Accepted Accounting Principles (GAAP), the accounting process, transaction analysis, financial statement preparation, and related topics. Pre-Requisite minimum 24 credit hours earned"
ACCT-211,Intro to Managerial Accounting,3,"This course is an introduction to managerial accounting concepts, with emphasis on using financial information for decision making purposes. Students are introduced to cost classifications and product costing, multiple methods of income statement and cash flow statement preparation, budget preparation and variance analysis, financial statement analysis, and other related topics. Prerequisite: Accounting 210; minimum 24 credit hours earned"
ACCT-310,Intermediate Accounting I,3,"Stresses basic theory and alternative approaches to income determination and asset valuation. Includes study of basic financial statements, the accounting cycle, cash, receivables, inventory, property, plant and equipment, intangibles, and liabilities. Prerequisites: Accounting 210, minimum grade of C-. Fall."
ACCT-311,Intermediate Accounting II,3,"Examines problems in accounting for stockholders' equity, investment,revenue recognition, income taxes, pensions, and leases. In-depth study of accounting changes and error analysis, statement of cash flows, financial statement analysis, disclosure requirements, and changing prices. Prerequisite: Accounting 310, minimum grade of C-. Spring."
ACCT-317,Cost Accounting,3,"Examines issues and procedures in product costing for financial statement purposes under both historical and standard costing. Includes job costing, process costing, and activity-based costing methods, along with inventory management, pricing decisions, cost allocations, and other advanced topics. Prerequisite: Accounting 211, minimum grade of C-. Fall."
ACCT-321,Accounting Information Systems,3,"This course provides an introduction to the design, implementation and evaluation of accounting information systems. Topics covered include the role and purpose of accounting information systems, transaction processing, internal control, XBRL, enterprise resource planning systems, electronic business, and related topics. Prerequisite: Accounting 211. Spring."
ACCT-329,Intro to Taxation,3,"Examines the role of taxes in society and their impact on business entities and individuals. An introduction to income, exclusions, deductions, and credits. Tax planning and analysis for decision-making will also be considered.  Prerequisite: Accounting 210, minimum grade of C-. Fall."
ACCT-347,International Accounting,3,"Introduces and examines accounting for transactions in a global economy. Course dedicated to an overview of the convergence of U.S. Generally Accepted Accounting Principles with International Financial Reporting Standards. Specific topics include financial disclosure, foreign exchange, taxation, and ethics. Prerequisite: Accounting 310, minimum grade of C-. Offered periodically."
ACCT-360,Computer Accounting,3,"This course introduces students to popular accounting software applications used by millions of small and medium-size organizations around the world. Students will learn to use the software processes and procedures to prepare reports related to the accounting cycle, general ledger, accounts payable, accounts receivable, payroll and inventory system to generate a wide variety of business and financial reports. The accounting software packages introduced in this course are currently being used by regional accounting firms and some Fortune 500 companies."
ACCT-380,Special Topics in Accounting,3,"Covers topics not included in other courses, gives greater depth in certain areas, and explores current accounting topics. Topic varies each offering. Prerequisite: Accounting 211, minimum grade of C-. Offered periodically."
ACCT-395,Independent Study,1 to 3,"Independent research in accounting conducted under faculty supervision. Prerequisites: Accounting 210, minimum grade of C- and permission of instructor."
ACCT-398,Internship in Accounting,3,"First internship; a structured assignment that allows student to gain practical experience in an accounting position relating to an area of career interest. Student is directed by the internship director and supervised by a member of the cooperating organization. Enrollment in course must be concurrent with work experience. A contract (available from the business school's internship director) must be approved and an offer letter from the internship provider must be on file before registering for course. Sponsoring institutions may require students to have completed specific courses(s) in addition to the following prerequisites prior to beginning the internship. Writing intensive course. Prerequisites: Accounting 310, minimum grade of C-; permission of the internship director of the Schroeder Family School of Business Administration."
